CMDLINE cat /tmp/tif-only.log
MEM 0.734375 1447638172.1062
MEM 0.734375 1447638172.2091
MEM 0.734375 1447638172.3099
MEM 0.734375 1447638172.4117
MEM 0.734375 1447638172.5157
MEM 0.734375 1447638172.6178
MEM 0.734375 1447638172.7195
MEM 0.734375 1447638172.8202
MEM 0.734375 1447638172.9231
MEM 0.734375 1447638173.0245
MEM 0.734375 1447638173.1246
MEM 0.734375 1447638173.2269
MEM 0.734375 1447638173.3274
MEM 0.734375 1447638173.4276
MEM 0.734375 1447638173.5304
MEM 0.734375 1447638173.6308
MEM 0.734375 1447638173.7316
MEM 0.734375 1447638173.8348
MEM 0.734375 1447638173.9380
MEM 0.734375 1447638174.0408
MEM 0.734375 1447638174.1413
MEM 0.734375 1447638174.2429
MEM 0.734375 1447638174.3458
MEM 0.734375 1447638174.4471
MEM 0.734375 1447638174.5479
MEM 0.734375 1447638174.6519
MEM 0.734375 1447638174.7561
MEM 0.734375 1447638174.8582
MEM 0.734375 1447638174.9614
MEM 0.734375 1447638175.0627
MEM 0.734375 1447638175.1636
MEM 0.734375 1447638175.2673
MEM 0.734375 1447638175.3711
MEM 0.734375 1447638175.4754
MEM 0.734375 1447638175.5766
MEM 0.734375 1447638175.6780
MEM 0.734375 1447638175.7809
MEM 0.734375 1447638175.8812
MEM 0.734375 1447638175.9855
MEM 0.734375 1447638176.0898
MEM 0.734375 1447638176.1919
MEM 0.734375 1447638176.2920
MEM 0.734375 1447638176.3923
MEM 0.734375 1447638176.4928
MEM 0.734375 1447638176.5960
MEM 0.734375 1447638176.7012
MEM 0.734375 1447638176.8019
MEM 0.734375 1447638176.9053
MEM 0.734375 1447638177.0059
MEM 0.734375 1447638177.1061
MEM 0.734375 1447638177.2111
MEM 0.734375 1447638177.3112
MEM 0.734375 1447638177.4131
MEM 0.734375 1447638177.5134
MEM 0.734375 1447638177.6184
MEM 0.734375 1447638177.7195
MEM 0.734375 1447638177.8215
MEM 0.734375 1447638177.9266
MEM 0.734375 1447638178.0289
MEM 0.734375 1447638178.1340
MEM 0.734375 1447638178.2370
MEM 0.734375 1447638178.3381
MEM 0.734375 1447638178.4399
MEM 0.734375 1447638178.5415
MEM 0.734375 1447638178.6466
MEM 0.734375 1447638178.7490
MEM 0.734375 1447638178.8519
MEM 0.734375 1447638178.9540
MEM 0.734375 1447638179.0561
MEM 0.734375 1447638179.1612
MEM 0.734375 1447638179.2621
MEM 0.734375 1447638179.3622
MEM 0.734375 1447638179.4625
MEM 0.734375 1447638179.5628
MEM 0.734375 1447638179.6649
MEM 0.734375 1447638179.7668
MEM 0.734375 1447638179.8696
MEM 0.734375 1447638179.9720
MEM 0.734375 1447638180.0724
MEM 0.734375 1447638180.1730
MEM 0.734375 1447638180.2772
MEM 0.734375 1447638180.3793
MEM 0.734375 1447638180.4819
MEM 0.734375 1447638180.5822
MEM 0.734375 1447638180.6834
MEM 0.734375 1447638180.7876
MEM 0.734375 1447638180.8900
MEM 0.734375 1447638180.9919
MEM 0.734375 1447638181.0941
MEM 0.734375 1447638181.1960
MEM 0.734375 1447638181.2975
MEM 0.734375 1447638181.4016
MEM 0.734375 1447638181.5043
MEM 0.734375 1447638181.6051
MEM 0.734375 1447638181.7062
MEM 0.734375 1447638181.8090
MEM 0.734375 1447638181.9119
MEM 0.734375 1447638182.0132
MEM 0.734375 1447638182.1133
MEM 0.734375 1447638182.2139
MEM 0.734375 1447638182.3147
MEM 0.734375 1447638182.4148
MEM 0.734375 1447638182.5159
MEM 0.734375 1447638182.6160
MEM 0.734375 1447638182.7162
MEM 0.734375 1447638182.8217
MEM 0.734375 1447638182.9266
MEM 0.734375 1447638183.0279
MEM 0.734375 1447638183.1320
MEM 0.734375 1447638183.2337
MEM 0.734375 1447638183.3341
MEM 0.734375 1447638183.4377
MEM 0.734375 1447638183.5388
MEM 0.734375 1447638183.6413
MEM 0.734375 1447638183.7441
MEM 0.734375 1447638183.8475
MEM 0.734375 1447638183.9497
MEM 0.734375 1447638184.0504
MEM 0.734375 1447638184.1506
MEM 0.734375 1447638184.2516
MEM 0.734375 1447638184.3518
MEM 0.734375 1447638184.4524
MEM 0.734375 1447638184.5552
MEM 0.734375 1447638184.6585
MEM 0.734375 1447638184.7602
MEM 0.734375 1447638184.8646
MEM 0.734375 1447638184.9661
MEM 0.734375 1447638185.0708
MEM 0.734375 1447638185.1711
MEM 0.734375 1447638185.2732
MEM 0.734375 1447638185.3744
MEM 0.734375 1447638185.4762
MEM 0.734375 1447638185.5795
MEM 0.734375 1447638185.6808
MEM 0.734375 1447638185.7816
MEM 0.734375 1447638185.8826
MEM 0.734375 1447638185.9861
MEM 0.734375 1447638186.0864
MEM 0.734375 1447638186.1892
MEM 0.734375 1447638186.2894
MEM 0.734375 1447638186.3940
MEM 0.734375 1447638186.4957
MEM 0.734375 1447638186.5971
MEM 0.734375 1447638186.6974
MEM 0.734375 1447638186.8022
MEM 0.734375 1447638186.9063
MEM 0.734375 1447638187.0115
MEM 0.734375 1447638187.1154
MEM 0.734375 1447638187.2202
MEM 0.734375 1447638187.3243
MEM 0.734375 1447638187.4252
MEM 0.734375 1447638187.5255
MEM 0.734375 1447638187.6287
MEM 0.734375 1447638187.7311
MEM 0.734375 1447638187.8322
MEM 0.734375 1447638187.9354
MEM 0.734375 1447638188.0391
MEM 0.734375 1447638188.1396
MEM 0.734375 1447638188.2401
MEM 0.734375 1447638188.3405
MEM 0.734375 1447638188.4411
MEM 0.734375 1447638188.5429
MEM 0.734375 1447638188.6461
MEM 0.734375 1447638188.7482
MEM 0.734375 1447638188.8502
MEM 0.734375 1447638188.9523
MEM 0.734375 1447638189.0534
MEM 0.734375 1447638189.1580
MEM 0.734375 1447638189.2629
MEM 0.734375 1447638189.3662
MEM 0.734375 1447638189.4699
MEM 0.734375 1447638189.5751
MEM 0.734375 1447638189.6781
MEM 0.734375 1447638189.7821
MEM 0.734375 1447638189.8826
MEM 0.734375 1447638189.9838
MEM 0.734375 1447638190.0853
MEM 0.734375 1447638190.1864
MEM 0.734375 1447638190.2874
MEM 0.734375 1447638190.3912
MEM 0.734375 1447638190.4941
MEM 0.734375 1447638190.5948
MEM 0.734375 1447638190.6963
MEM 0.734375 1447638190.7988
MEM 0.734375 1447638190.9027
MEM 0.734375 1447638191.0078
MEM 0.734375 1447638191.1100
MEM 0.734375 1447638191.2147
MEM 0.734375 1447638191.3175
MEM 0.734375 1447638191.4195
MEM 0.734375 1447638191.5203
MEM 0.734375 1447638191.6218
MEM 0.734375 1447638191.7261
MEM 0.734375 1447638191.8272
MEM 0.734375 1447638191.9286
MEM 0.734375 1447638192.0334
MEM 0.734375 1447638192.1338
MEM 0.734375 1447638192.2344
MEM 0.734375 1447638192.3364
MEM 0.734375 1447638192.4372
MEM 0.734375 1447638192.5409
MEM 0.734375 1447638192.6428
MEM 0.734375 1447638192.7438
MEM 0.734375 1447638192.8477
MEM 0.734375 1447638192.9514
MEM 0.734375 1447638193.0544
MEM 0.734375 1447638193.1558
MEM 0.734375 1447638193.2564
MEM 0.734375 1447638193.3584
MEM 0.734375 1447638193.4619
MEM 0.734375 1447638193.5672
MEM 0.734375 1447638193.6675
MEM 0.734375 1447638193.7754
MEM 0.734375 1447638193.8785
MEM 0.734375 1447638193.9817
MEM 0.734375 1447638194.0819
MEM 0.734375 1447638194.1844
MEM 0.734375 1447638194.2850
MEM 0.734375 1447638194.3880
MEM 0.734375 1447638194.4884
MEM 0.734375 1447638194.5887
MEM 0.734375 1447638194.6897
MEM 0.734375 1447638194.7991
MEM 0.734375 1447638194.9028
MEM 0.734375 1447638195.0035
MEM 0.734375 1447638195.1076
MEM 0.734375 1447638195.2087
MEM 0.734375 1447638195.3092
MEM 0.734375 1447638195.4102
MEM 0.734375 1447638195.5151
MEM 0.734375 1447638195.6246
MEM 0.734375 1447638195.7285
MEM 0.734375 1447638195.8288
MEM 0.734375 1447638195.9298
MEM 0.734375 1447638196.0305
MEM 0.734375 1447638196.1347
MEM 0.734375 1447638196.2382
MEM 0.734375 1447638196.3404
MEM 0.734375 1447638196.4430
MEM 0.734375 1447638196.5451
MEM 0.734375 1447638196.6457
MEM 0.734375 1447638196.7485
MEM 0.734375 1447638196.8517
MEM 0.734375 1447638196.9528
MEM 0.734375 1447638197.0532
MEM 0.734375 1447638197.1541
MEM 0.734375 1447638197.2567
MEM 0.734375 1447638197.3590
MEM 0.734375 1447638197.4603
MEM 0.734375 1447638197.5649
MEM 0.734375 1447638197.6683
MEM 0.734375 1447638197.7705
MEM 0.734375 1447638197.8739
MEM 0.734375 1447638197.9783
MEM 0.734375 1447638198.0810
MEM 0.734375 1447638198.1819
MEM 0.734375 1447638198.2826
MEM 0.734375 1447638198.3858
MEM 0.734375 1447638198.4866
MEM 0.734375 1447638198.5874
MEM 0.734375 1447638198.6892
MEM 0.734375 1447638198.7906
MEM 0.734375 1447638198.8960
MEM 0.734375 1447638198.9962
MEM 0.734375 1447638199.1006
MEM 0.734375 1447638199.2014
MEM 0.734375 1447638199.3052
MEM 0.734375 1447638199.4055
MEM 0.734375 1447638199.5077
MEM 0.734375 1447638199.6091
MEM 0.734375 1447638199.7123
MEM 0.734375 1447638199.8150
MEM 0.734375 1447638199.9166
MEM 0.734375 1447638200.0206
MEM 0.734375 1447638200.1245
MEM 0.734375 1447638200.2251
MEM 0.734375 1447638200.3299
MEM 0.734375 1447638200.4344
MEM 0.734375 1447638200.5386
MEM 0.734375 1447638200.6400
MEM 0.734375 1447638200.7401
MEM 0.734375 1447638200.8403
MEM 0.734375 1447638200.9430
MEM 0.734375 1447638201.0437
MEM 0.734375 1447638201.1453
MEM 0.734375 1447638201.2470
MEM 0.734375 1447638201.3476
MEM 0.734375 1447638201.4501
MEM 0.734375 1447638201.5503
MEM 0.734375 1447638201.6515
MEM 0.734375 1447638201.7558
MEM 0.734375 1447638201.8587
MEM 0.734375 1447638201.9620
MEM 0.734375 1447638202.0651
MEM 0.734375 1447638202.1702
MEM 0.734375 1447638202.2748
MEM 0.734375 1447638202.3763
MEM 0.734375 1447638202.4800
MEM 0.734375 1447638202.5808
MEM 0.734375 1447638202.6846
MEM 0.734375 1447638202.7856
MEM 0.734375 1447638202.8861
MEM 0.734375 1447638202.9865
MEM 0.734375 1447638203.0868
MEM 0.734375 1447638203.1897
MEM 0.734375 1447638203.2946
MEM 0.734375 1447638203.3976
MEM 0.734375 1447638203.4993
MEM 0.734375 1447638203.6027
MEM 0.734375 1447638203.7063
MEM 0.734375 1447638203.8103
MEM 0.734375 1447638203.9153
MEM 0.734375 1447638204.0167
MEM 0.734375 1447638204.1207
MEM 0.734375 1447638204.2209
MEM 0.734375 1447638204.3261
MEM 0.734375 1447638204.4305
MEM 0.734375 1447638204.5356
MEM 0.734375 1447638204.6363
MEM 0.734375 1447638204.7404
MEM 0.734375 1447638204.8454
MEM 0.734375 1447638204.9469
MEM 0.734375 1447638205.0492
MEM 0.734375 1447638205.1519
MEM 0.734375 1447638205.2522
MEM 0.734375 1447638205.3553
MEM 0.734375 1447638205.4604
MEM 0.734375 1447638205.5654
MEM 0.734375 1447638205.6667
MEM 0.734375 1447638205.7708
MEM 0.734375 1447638205.8715
MEM 0.734375 1447638205.9724
MEM 0.734375 1447638206.0732
MEM 0.734375 1447638206.1754
MEM 0.734375 1447638206.2772
MEM 0.734375 1447638206.3781
MEM 0.734375 1447638206.4784
MEM 0.734375 1447638206.5844
MEM 0.734375 1447638206.6849
MEM 0.734375 1447638206.7852
MEM 0.734375 1447638206.8875
MEM 0.734375 1447638206.9890
MEM 0.734375 1447638207.0893
MEM 0.734375 1447638207.1895
MEM 0.734375 1447638207.2897
MEM 0.734375 1447638207.3928
MEM 0.734375 1447638207.4930
MEM 0.734375 1447638207.5972
MEM 0.734375 1447638207.7007
MEM 0.734375 1447638207.8033
MEM 0.734375 1447638207.9073
MEM 0.734375 1447638208.0114
MEM 0.734375 1447638208.1154
MEM 0.734375 1447638208.2170
MEM 0.734375 1447638208.3172
MEM 0.734375 1447638208.4204
MEM 0.734375 1447638208.5230
